High,Low
766.2822580645161,764.3629032258065
668.9375,666.8541666666666
785.8546942952162,783.0565361985163
764.375,761.7737463837994
736.123595505618,734.9887640449438
820.1666666666666,820.1666666666666
900.0,900.0
630.9920564872021,629.8861429832303
800.4234808702175,799.3098274568642
867.0,867.0
770.5132743362832,768.8495575221239
770.1074481074481,767.2037037037037
871.1641791044776,868.955223880597
805.5,804.6029411764706
787.915976331361,786.0121724429416
866.1014492753624,865.5217391304348
763.125,761.3125
789.6853521813307,787.5649524737996
773.1339285714286,770.8392857142857
936.75,933.2166666666667
679.8125,679.65625
760.4222497932176,751.5490763716571
759.45,757.8
764.1973392461198,762.7827050997782
